Manufacturer	Model	Type	Engine.Displacement	Cylinders	MPG.city	MPG.highway	MPG.combined	Guzzler	Aspiration	Transmission	Gears	Drive	Fuel.cost
Toyota	FJ.CRUISER.4WD	Special.Purpose.Vehicle.SUV.4WD	4.0	6	17	20	18	N	Naturally.Aspirated	Automatic	5	Part-time.4-Wheel.Drive	3086
Toyota	HIGHLANDER.2WD	Special.Purpose.Vehicle.SUV.2WD	2.7	4	20	25	22	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	2525
Toyota	HIGHLANDER.4WD	Special.Purpose.Vehicle.SUV.4WD	3.5	6	17	22	19	N	Naturally.Aspirated	Semi-Automatic	5	All.Wheel.Drive	2919
Toyota	PRIUS	Midsize.Cars	1.8	4	51	48	50	N	Naturally.Aspirated	Continuously.Variable	1	2-Wheel.Drive.Front	1110
Toyota	PRIUS.v	Midsize.Station.Wagons	1.8	4	44	40	42	N	Naturally.Aspirated	Continuously.Variable	1	2-Wheel.Drive.Front	1321
Toyota	SEQUOIA.2WD	Special.Purpose.Vehicle.SUV.2WD	4.6	8	14	20	16	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Rear	3469
Toyota	SEQUOIA.4WD	Special.Purpose.Vehicle.SUV.4WD	5.7	8	13	17	14	N	Naturally.Aspirated	Semi-Automatic	6	Part-time.4-Wheel.Drive	3963
Toyota	SIENNA	Special.Purpose.Vehicle.minivan.2WD	2.7	4	19	24	21	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	2642
Toyota	TACOMA.2WD	Small.Pick-up.Trucks.2WD	2.7	4	19	24	21	N	Naturally.Aspirated	Automatic	4	2-Wheel.Drive.Rear	2642
Toyota	TACOMA.4WD	Small.Pick-up.Trucks.4WD	2.7	4	18	21	19	N	Naturally.Aspirated	Automatic	4	Part-time.4-Wheel.Drive	2919
Toyota	TUNDRA.2WD	Standard.Pick-up.Trucks.2WD	4.0	6	16	20	18	N	Naturally.Aspirated	Semi-Automatic	5	2-Wheel.Drive.Rear	3086
Toyota	TUNDRA.4WD	Standard.Pick-up.Trucks.4WD	4.6	8	14	19	16	N	Naturally.Aspirated	Semi-Automatic	6	Part-time.4-Wheel.Drive	3469
Toyota	YARIS	Compact.Cars	1.5	4	30	35	32	N	Naturally.Aspirated	Automatic	4	2-Wheel.Drive.Front	1732
Volkswagen	BEETLE	Subcompact.Cars	2.0	4	22	30	25	N	Turbocharged	Semi-Automatic	6	2-Wheel.Drive.Front	1920
Volkswagen	CC	Compact.Cars	2.0	4	22	31	25	N	Turbocharged	Semi-Automatic	6	2-Wheel.Drive.Front	1920
Volkswagen	EOS	Subcompact.Cars	2.0	4	22	30	25	N	Turbocharged	Semi-Automatic	6	2-Wheel.Drive.Front	1920
Volkswagen	GOLF	Compact.Cars	2.0	4	30	42	34	N	Turbocharged	Semi-Automatic	6	2-Wheel.Drive.Front	1367
Volkswagen	GTI	Compact.Cars	2.0	4	24	33	27	N	Turbocharged	Semi-Automatic	6	2-Wheel.Drive.Front	1776
Volkswagen	Jetta	Compact.Cars	2.0	4	24	32	27	N	Turbocharged	Semi-Automatic	6	2-Wheel.Drive.Front	1776
Volkswagen	Passat	Midsize.Cars	2.0	4	30	40	34	N	Turbocharged	Semi-Automatic	6	2-Wheel.Drive.Front	1367
Volkswagen	Routan	Special.Purpose.Vehicle.minivan.2WD	3.6	6	17	25	20	N	Naturally.Aspirated	Automatic	6	2-Wheel.Drive.Front	2250
Volkswagen	TIGUAN	Special.Purpose.Vehicle.SUV.2WD	2.0	4	22	27	24	N	Turbocharged	Semi-Automatic	6	2-Wheel.Drive.Front	2002
Volkswagen	TOUAREG	Special.Purpose.Vehicle.SUV.4WD	3.0	6	19	28	22	N	Turbocharged	Semi-Automatic	8	All.Wheel.Drive	2116
Volvo	C30.FWD	Compact.Cars	2.5	5	21	30	24	N	Turbocharged	Semi-Automatic	5	2-Wheel.Drive.Front	2314
Volvo	C70.FWD	Subcompact.Cars	2.5	5	18	28	21	N	Turbocharged	Semi-Automatic	5	2-Wheel.Drive.Front	2642
Volvo	S60.AWD	Compact.Cars	3.0	6	18	26	21	N	Turbocharged	Semi-Automatic	6	All.Wheel.Drive	2642
Volvo	S60.FWD	Compact.Cars	2.5	5	20	30	23	N	Turbocharged	Semi-Automatic	6	2-Wheel.Drive.Front	2414
Volvo	S80.AWD	Midsize.Cars	3.0	6	18	26	21	N	Turbocharged	Semi-Automatic	6	All.Wheel.Drive	2642
Volvo	S80.FWD	Midsize.Cars	3.2	6	20	29	23	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	2414
Volvo	XC60.AWD	Special.Purpose.Vehicle.SUV.4WD	3.0	6	17	23	20	N	Turbocharged	Semi-Automatic	6	All.Wheel.Drive	2775
Volvo	XC70.AWD	Special.Purpose.Vehicle.SUV.4WD	3.0	6	17	23	20	N	Turbocharged	Semi-Automatic	6	All.Wheel.Drive	2775
Volvo	XC70.FWD	Special.Purpose.Vehicle.SUV.2WD	3.2	6	19	25	21	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	2642
Volvo	XC90.AWD	Special.Purpose.Vehicle.SUV.4WD	3.2	6	16	23	18	N	Naturally.Aspirated	Semi-Automatic	6	All.Wheel.Drive	3086
Volvo	XC90.FWD	Special.Purpose.Vehicle.SUV.2WD	3.2	6	16	23	19	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	2919
