Manufacturer	Model	Type	Engine.Displacement	Cylinders	MPG.city	MPG.highway	MPG.combined	Guzzler	Aspiration	Transmission	Gears	Drive	Fuel.cost
INFINITI	QX56.2WD	Special.Purpose.Vehicle.SUV.2WD	5.6	8	14	20	16	N	Naturally.Aspirated	Semi-Automatic	7	2-Wheel.Drive.Rear	3703
INFINITI	QX56.4WD	Special.Purpose.Vehicle.SUV.4WD	5.6	8	14	20	16	N	Naturally.Aspirated	Semi-Automatic	7	4-Wheel.Drive	3703
Jaguar	Jaguar.XF	Midsize.Cars	5.0	8	16	23	19	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Rear	3117
Jaguar	Jaguar.XJ	Large.Cars	5.0	8	16	23	19	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Rear	3117
Jaguar	Jaguar.XK	Minicompact.Cars	5.0	8	16	24	19	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Rear	3117
Jeep	Compass.2WD	Special.Purpose.Vehicle.SUV.2WD	2.0	4	23	27	24	N	Naturally.Aspirated	Continuously.Variable	1	2-Wheel.Drive.Front	2314
Jeep	Compass.4WD	Special.Purpose.Vehicle.SUV.4WD	2.4	4	21	26	23	N	Naturally.Aspirated	Continuously.Variable	1	4-Wheel.Drive	2414
Jeep	Grand.Cherokee.2WD	Special.Purpose.Vehicle.SUV.2WD	3.6	6	17	23	19	N	Naturally.Aspirated	Automatic	5	2-Wheel.Drive.Rear	2367
Jeep	Grand.Cherokee.4WD	Special.Purpose.Vehicle.SUV.4WD	3.6	6	16	23	19	N	Naturally.Aspirated	Automatic	5	All.Wheel.Drive	2367
Jeep	Liberty.2WD	Special.Purpose.Vehicle.SUV.2WD	3.7	6	16	22	18	N	Naturally.Aspirated	Automatic	4	2-Wheel.Drive.Rear	2502
Jeep	Liberty.4WD	Special.Purpose.Vehicle.SUV.4WD	3.7	6	15	21	17	N	Naturally.Aspirated	Automatic	4	4-Wheel.Drive	2646
Jeep	Patriot.2WD	Special.Purpose.Vehicle.SUV.2WD	2.0	4	23	27	24	N	Naturally.Aspirated	Continuously.Variable	1	2-Wheel.Drive.Front	2314
Jeep	Patriot.4WD	Special.Purpose.Vehicle.SUV.4WD	2.4	4	21	26	23	N	Naturally.Aspirated	Continuously.Variable	1	4-Wheel.Drive	2414
Jeep	Wrangler.4WD	Special.Purpose.Vehicle.SUV.4WD	3.6	6	17	21	18	N	Naturally.Aspirated	Automatic	5	4-Wheel.Drive	2502
Kia	FORTE	Midsize.Cars	2.0	4	26	36	29	N	Naturally.Aspirated	Automatic	6	2-Wheel.Drive.Front	1915
Kia	OPTIMA	Midsize.Cars	2.0	4	22	34	26	N	Turbocharged	Automatic	6	2-Wheel.Drive.Front	2137
Kia	RIO	Compact.Cars	1.6	4	30	40	33	N	Naturally.Aspirated	Automatic	6	2-Wheel.Drive.Front	1682
Kia	RONDO	Midsize.Station.Wagons	2.4	4	20	27	22	N	Naturally.Aspirated	Automatic	4	2-Wheel.Drive.Front	2525
Kia	SEDONA	Special.Purpose.Vehicle.minivan.2WD	3.5	6	18	25	21	N	Naturally.Aspirated	Automatic	6	2-Wheel.Drive.Front	2642
Kia	SORENTO.2WD	Special.Purpose.Vehicle.SUV.2WD	2.4	4	22	32	25	N	Naturally.Aspirated	Automatic	6	2-Wheel.Drive.Front	2220
